Ensembl Gene ID	HGNC symbol
ENSG00000259662	
ENSG00000258865	DIO3
ENSG00000255738	GAGE4
ENSG00000227268	KLLN
ENSG00000224420	C19orf76
ENSG00000226894	TMPRSS11BNL
ENSG00000258664	
ENSG00000181143	MUC16
ENSG00000258518	
ENSG00000259741	
ENSG00000265969	
ENSG00000262355	SAMD4A
ENSG00000198888	MT-ND1
ENSG00000198763	MT-ND2
ENSG00000198804	MT-CO1
ENSG00000198712	MT-CO2
ENSG00000228253	
ENSG00000198899	MT-ATP6
ENSG00000198938	MT-CO3
ENSG00000198840	MT-ND3
ENSG00000212907	MT-ND4L
ENSG00000198886	MT-ND4
ENSG00000198786	MT-ND5
ENSG00000198695	MT-ND6
ENSG00000198727	MT-CYB
ENSG00000262023	JRK
ENSG00000262150	PSCA
ENSG00000262378	LY6K
ENSG00000263194	THEM6
ENSG00000120645	IQSEC3
ENSG00000111181	SLC6A12
ENSG00000010379	SLC6A13
ENSG00000073614	KDM5A
ENSG00000120647	CCDC77
ENSG00000168904	LRRC28
ENSG00000139044	B4GALNT3
ENSG00000171840	NINJ2
ENSG00000060237	WNK1
ENSG00000068305	MEF2A
ENSG00000139842	CUL4A
ENSG00000183060	LYSMD4
ENSG00000002016	RAD52
ENSG00000185896	LAMP1
ENSG00000214397	
ENSG00000259363	
ENSG00000140470	ADAMTS17
ENSG00000139835	GRTP1
ENSG00000153531	ADPRHL1
ENSG00000150401	DCUN1D2
ENSG00000082805	ERC1
ENSG00000154227	CERS3
ENSG00000263243	
ENSG00000263057	
ENSG00000263309	
ENSG00000262164	
ENSG00000150403	TMCO3
ENSG00000262845	
ENSG00000263101	
ENSG00000140471	LINS
ENSG00000263296	
ENSG00000262068	
ENSG00000261862	
ENSG00000263242	
ENSG00000262347	
ENSG00000262808	
ENSG00000261852	
ENSG00000262731	
ENSG00000262862	
ENSG00000263091	
ENSG00000198176	TFDP1
ENSG00000266286	
ENSG00000261968	
ENSG00000262520	
ENSG00000262121	
ENSG00000263229	
ENSG00000129991	TNNI3
ENSG00000263236	
ENSG00000183475	ASB7
ENSG00000167646	DNAAF3
ENSG00000186009	ATP4B
ENSG00000185974	GRK1
ENSG00000184254	ALDH1A3
ENSG00000129990	SYT5
ENSG00000184497	FAM70B
ENSG00000080031	PTPRH
ENSG00000183087	GAS6
ENSG00000180089	TMEM86B
ENSG00000105063	PPP6R1
ENSG00000154237	LRRK1
ENSG00000133265	HSPBP1
ENSG00000160469	BRSK1
ENSG00000180061	TMEM150B
ENSG00000185989	RASA3
ENSG00000133247	SUV420H2
ENSG00000267531	
ENSG00000160471	COX6B2
ENSG00000267706	
ENSG00000180043	FAM71E2
